room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16587600,48017914,Entire home/apt,,Yellowknife,3,4.5,4,0,138,,62.459685,-114.343186,58:17.3
13866852,81984655,Entire home/apt,,Yellowknife,0,0,10,4,106,,62.447095,-114.38996,58:15.9
11550672,60975065,Entire home/apt,,Yellowknife,3,5,4,2,123,,62.465533,-114.373068,58:15.8
8226174,43377709,Entire home/apt,,Yellowknife,28,4.5,2,1,123,,62.437272,-114.41686,58:15.7
6156498,21731000,Entire home/apt,,Yellowknife,19,5,2,1,123,,62.464903,-114.351342,58:15.5
16589097,109143754,Entire home/apt,,Yellowknife,0,0,6,1,92,,62.454641,-114.382677,58:13.8
12211516,65680230,Entire home/apt,,Yellowknife,10,5,2,1,100,,62.451884,-114.369951,58:13.7
7243904,37730491,Entire home/apt,,Yellowknife,3,4.5,4,2,76,,62.45135,-114.364015,58:11.9
14900258,93539754,Entire home/apt,,Yellowknife,15,5,2,1,76,,62.439849,-114.406535,58:11.8
16692601,110543187,Entire home/apt,,Yellowknife,2,0,2,1,76,,62.440521,-114.424382,58:11.7
5106781,26388248,Entire home/apt,,Yellowknife,16,5,3,0,82,,62.464869,-114.365427,58:11.5
14824741,4825545,Entire home/apt,,Yellowknife,36,5,2,1,75,,62.460127,-114.363491,58:11.4
15537834,95753013,Entire home/apt,,Yellowknife,2,0,6,3,54,,62.440178,-114.410207,58:10.1
16779267,111438642,Private room,,Yellowknife,0,0,2,1,123,,62.460727,-114.356843,57:20.5
12796058,48017914,Private room,,Yellowknife,17,5,2,1,114,,62.459629,-114.342939,57:20.4
6701451,29009711,Private room,,Yellowknife,1,0,2,1,95,,62.469263,-114.346955,57:18.6
16297978,42056096,Private room,,Yellowknife,0,0,3,1,96,,62.464206,-114.358311,57:18.5
8446394,25827587,Private room,,Yellowknife,6,5,2,1,88,,62.450074,-114.420497,57:18.4
9998635,51364591,Private room,,Yellowknife,6,5,2,1,96,,62.446927,-114.374536,57:18.3
16297366,42056096,Private room,,Yellowknife,0,0,3,1,96,,62.462856,-114.359928,57:18.2
361208,1825523,Private room,,Yellowknife,17,5,2,1,84,,62.47303,-114.342687,57:18.0
5626734,25827587,Private room,,Yellowknife,12,5,2,1,84,,62.449907,-114.413256,57:17.9
15453753,91856436,Private room,,Yellowknife,2,0,4,1,78,,62.450208,-114.372278,57:15.8
6433388,28195028,Private room,,Yellowknife,13,4.5,2,1,76,,62.45054,-114.370558,57:15.7
5521862,28195028,Private room,,Yellowknife,0,0,2,1,73,,62.452116,-114.372181,57:15.6
6261276,28195028,Private room,,Yellowknife,10,4.5,3,1,76,,62.452526,-114.370341,57:15.5
15602397,5824802,Private room,,Yellowknife,2,0,2,1,63,,62.465585,-114.349541,57:15.3
16286210,42056096,Private room,,Yellowknife,0,0,2,1,80,,62.464439,-114.359539,57:15.2
6577784,26388248,Private room,,Yellowknife,74,5,2,1,69,,62.448686,-114.367895,57:15.1
6078813,6056067,Private room,,Yellowknife,57,5,4,1,75,,62.466921,-114.366072,57:13.6
5588903,6614402,Private room,,Yellowknife,21,5,2,1,68,,62.442129,-114.416639,57:13.4
16676052,110343930,Private room,,Yellowknife,4,5,2,1,68,,62.432987,-114.407731,57:13.3
14653841,31878662,Private room,,Yellowknife,10,4,5,1,76,,62.436276,-114.423491,57:13.2
1837366,1825523,Private room,,Yellowknife,6,5,2,1,76,,62.472185,-114.342046,57:13.1
16286422,42056096,Private room,,Yellowknife,0,0,2,1,80,,62.462547,-114.35909,57:13.0
6765510,6018080,Private room,,Yellowknife,10,5,2,1,76,,62.466339,-114.370555,57:12.9
5454224,28195028,Private room,,Yellowknife,16,5,1,1,63,,62.452547,-114.37082,57:12.7
2020094,1509188,Private room,,Yellowknife,32,4.5,2,1,69,,62.449769,-114.372152,57:12.6
15421250,5824802,Private room,,Yellowknife,7,5,2,1,65,,62.466787,-114.34924,57:12.5
16546628,26388248,Private room,,Yellowknife,5,5,2,1,65,,62.447859,-114.367343,57:12.4
5902621,25827587,Private room,,Yellowknife,33,5,2,1,69,,62.448306,-114.413256,57:12.3
1769821,1825523,Private room,,Yellowknife,21,4.5,2,1,76,,62.470965,-114.342648,57:12.2
6766821,6018080,Private room,,Yellowknife,7,5,2,1,76,,62.467012,-114.368242,57:12.1
5902250,25827587,Private room,,Yellowknife,14,5,2,1,76,,62.449862,-114.412859,57:11.9
4988093,6614402,Private room,,Yellowknife,41,5,2,1,71,,62.444204,-114.419327,57:11.8
16546289,108907052,Private room,,Yellowknife,6,5,2,1,65,,62.464034,-114.368169,57:11.7
5146235,26388248,Private room,,Yellowknife,68,5,3,1,78,,62.447758,-114.369388,57:11.5
14961568,1509188,Private room,,Yellowknife,7,4.5,2,1,61,,62.451585,-114.372458,57:09.6
15454014,99109865,Private room,,Yellowknife,10,5,2,1,61,,62.452008,-114.36612,57:09.5
16303118,106211065,Private room,,Yellowknife,1,0,2,1,61,,62.439526,-114.425051,57:09.3
11211267,1509188,Private room,,Yellowknife,27,4,2,1,58,,62.448712,-114.380837,57:09.2
15454407,99109865,Private room,,Yellowknife,12,5,2,1,54,,62.453754,-114.364865,57:09.1
17005952,110343930,Private room,,Yellowknife,1,0,2,1,47,,62.432987,-114.408415,57:06.9
9684913,2076510,Private room,,Yellowknife,18,5,2,1,58,,62.458113,-114.365487,57:06.8
12400760,9943987,Private room,,Yellowknife,17,5,2,2,58,,62.458281,-114.366202,57:06.7
10090993,29952958,Private room,,Yellowknife,16,5,2,1,58,,62.459155,-114.364413,57:06.5
15114038,95753013,Private room,,Yellowknife,9,5,4,1,54,,62.441808,-114.409534,57:06.4
17347258,117198983,Private room,,Yellowknife,0,0,1,1,54,,62.449152,-114.381598,57:06.3
15672130,13088952,Private room,,Yellowknife,4,5,2,1,53,,62.461077,-114.364214,57:06.2
4803490,21495533,Private room,,Yellowknife,16,4.5,2,1,46,,62.440045,-114.407787,57:06.1
16419813,11485740,Private room,,Yellowknife,8,5,2,1,42,,62.44007,-114.359673,57:06.0
12211564,12042079,Private room,,Yellowknife,12,4.5,2,1,54,,62.444921,-114.383939,57:05.9
13172757,15878363,Private room,,Yellowknife,4,5,2,1,44,,62.449234,-114.368954,57:05.8
8809378,12734522,Private room,,Yellowknife,10,4.5,2,1,55,,62.448111,-114.36873,57:05.6
2865417,1509188,Private room,,Yellowknife,14,4.5,2,1,58,,62.447892,-114.379096,57:05.5
10922520,54337862,Private room,,Yellowknife,44,5,2,1,49,,62.435552,-114.413047,57:05.4
15454676,99109865,Private room,,Yellowknife,22,5,2,1,46,,62.454172,-114.365948,57:05.3
15655507,5381863,Private room,,Yellowknife,4,5,2,1,54,,62.441239,-114.361812,57:05.2
16040011,26286417,Private room,,Yellowknife,7,5,2,1,57,,62.449677,-114.387743,57:05.1
14882665,93320156,Private room,,Yellowknife,24,5,2,1,54,,62.446441,-114.420906,57:05.0
17348010,15878363,Private room,,Yellowknife,1,0,2,1,34,,62.447351,-114.366986,57:03.0
16827309,102931482,Private room,,Yellowknife,3,5,1,1,34,,62.449031,-114.366996,57:02.9
15899732,102931482,Private room,,Yellowknife,17,5,2,1,40,,62.449632,-114.368065,57:02.8
11417659,54337862,Private room,,Yellowknife,30,5,2,1,38,,62.435914,-114.412332,56:57.0
6836834,35824253,Shared room,,Yellowknife,26,5,6,1,35,,62.444861,-114.417077,19:59.6
5594757,29009711,Entire home/apt,,Yellowknife,0,0,8,4,404,,62.467929,-114.348447,17:10.4
15251185,48418953,Entire home/apt,,Yellowknife,10,5,8,4,265,,62.453059,-114.385126,16:55.9
17071515,26388248,Entire home/apt,,Yellowknife,0,0,10,3,269,,62.448666,-114.368611,16:55.9
5454236,28195028,Entire home/apt,,Yellowknife,15,4,9,4,192,,62.45061,-114.371641,16:54.9
16332723,106916273,Entire home/apt,,Yellowknife,3,5,8,3,192,,62.436187,-114.429949,16:54.9
4822480,14170077,Entire home/apt,,Yellowknife,54,5,4,2,192,,62.463331,-114.352445,16:54.9
15450836,99109865,Entire home/apt,,Yellowknife,5,5,6,3,153,,62.454203,-114.366125,16:53.8
13442231,76722371,Entire home/apt,,Yellowknife,26,4.5,6,3,153,,62.467098,-114.346903,16:53.8
14964490,93539754,Entire home/apt,,Yellowknife,8,4.5,4,2,145,,62.43951,-114.406688,16:53.8
16097572,1274093,Entire home/apt,,Yellowknife,11,5,6,3,176,,62.4469,-114.380687,16:53.8
16374240,48017914,Entire home/apt,,Yellowknife,4,5,4,1,138,,62.458486,-114.345328,16:53.0
15008688,59990169,Entire home/apt,,Yellowknife,4,5,5,2,135,,62.447533,-114.371001,16:53.0
16587600,48017914,Entire home/apt,,Yellowknife,3,4.5,4,0,138,,62.459685,-114.343186,16:53.0
17446234,31859556,Entire home/apt,,Yellowknife,0,0,4,1,142,,62.472859,-114.343498,16:53.0
11550672,60975065,Entire home/apt,,Yellowknife,3,5,4,2,123,,62.465533,-114.373068,16:52.0
8226174,43377709,Entire home/apt,,Yellowknife,31,4.5,2,1,123,,62.437272,-114.41686,16:52.0
6156498,21731000,Entire home/apt,,Yellowknife,20,5,2,1,123,,62.464903,-114.351342,16:52.0
16589097,109143754,Entire home/apt,,Yellowknife,0,0,6,1,93,,62.454641,-114.382677,16:50.8
12211516,65680230,Entire home/apt,,Yellowknife,10,5,2,1,100,,62.451884,-114.369951,16:50.7
7243904,37730491,Entire home/apt,,Yellowknife,3,4.5,4,2,77,,62.45135,-114.364015,16:49.5
14900258,93539754,Entire home/apt,,Yellowknife,15,5,2,1,77,,62.439849,-114.406535,16:49.5
16692601,110543187,Entire home/apt,,Yellowknife,4,5,2,1,77,,62.440521,-114.424382,16:49.5
5106781,26388248,Entire home/apt,,Yellowknife,19,5,3,0,77,,62.464869,-114.365427,16:49.5
14824741,4825545,Entire home/apt,,Yellowknife,41,5,2,1,76,,62.460127,-114.363491,16:49.5
4803490,21495533,Private room,,Yellowknife,16,4.5,2,1,66,,62.440045,-114.407787,16:29.8
16779267,111438642,Private room,,Yellowknife,0,0,2,1,107,,62.460727,-114.356843,16:22.0
12796058,48017914,Private room,,Yellowknife,17,5,2,1,115,,62.459629,-114.342939,16:21.9
6701451,29009711,Private room,,Yellowknife,1,0,2,1,96,,62.469263,-114.346955,16:20.7
16297978,42056096,Private room,,Yellowknife,0,0,3,1,96,,62.464206,-114.358311,16:20.7
5626734,25827587,Private room,,Yellowknife,12,5,2,1,84,,62.449907,-114.413256,16:20.7
