room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8479104,949161,Private room,,Micklegate Ward,123,4.5,3,,49,1,53.953186,-1.083764,17:31.0
10560670,12923026,Entire home/apt,,Dringhouses & Woodthorpe Ward,9,4.5,4,,82,2,53.938936,-1.122639,17:10.3
12939308,7855293,Entire home/apt,,Micklegate Ward,8,4.5,5,,153,2,53.955832,-1.085062,17:04.4
8585696,186080,Entire home/apt,,Heworth Ward,30,5,5,,159,,53.966062,-1.071877,16:56.2
8385011,44185061,Private room,,Fulford & Heslington Ward,51,5,2,,44,1,53.928051,-1.065522,16:53.2
12941176,43246668,Entire home/apt,,Clifton Ward,7,5,7,,286,3,53.968565,-1.088159,16:27.2
14165445,33041852,Private room,,Clifton Ward,7,5,2,,70,2,53.968496,-1.099811,16:17.2
2491483,12752407,Private room,,Micklegate Ward,41,5,1,,27,7,53.954176,-1.088676,15:44.1
10326210,42784022,Private room,,Bishopthorpe Ward,32,4.5,2,,52,1,53.894996,-1.107487,15:34.3
8543704,43256484,Entire home/apt,,Guildhall Ward,3,5,3,,127,4,53.959376,-1.078255,15:31.4
8834737,46271342,Private room,,Micklegate Ward,3,5,2,,89,,53.949152,-1.084429,15:28.1
1883269,9801257,Private room,,Dringhouses & Woodthorpe Ward,49,5,1,,36,2,53.932564,-1.113271,15:25.5
5268291,16702245,Entire home/apt,,Guildhall Ward,93,5,5,,176,1,53.966987,-1.072729,15:12.3
5712020,27998246,Private room,,Heworth Ward,98,4.5,3,,64,1,53.967683,-1.054641,15:04.4
5296328,27428433,Entire home/apt,,Holgate Ward,81,5,4,,96,3,53.962043,-1.102537,14:42.4
11941580,33041365,Private room,,Fishergate Ward,15,5,1,,42,2,53.950658,-1.078051,14:31.1
8452697,43256484,Entire home/apt,,Guildhall Ward,3,4.5,4,,127,7,53.956414,-1.07746,14:28.4
14909863,93645614,Entire home/apt,,Micklegate Ward,13,5,4,,133,2,53.954469,-1.094625,14:22.2
10555452,54442984,Entire home/apt,,Micklegate Ward,46,5,2,,76,2,53.95094,-1.089647,14:15.7
15334246,86033146,Private room,,Holgate Ward,6,5,2,,70,1,53.961072,-1.101277,13:51.5
14316016,87534319,Entire home/apt,,Osbaldwick & Derwent Ward,2,,5,,110,2,53.959351,-1.034749,13:47.1
13439295,16623295,Private room,,Micklegate Ward,34,5,2,,41,,53.946059,-1.092119,13:35.1
15442539,25805064,Private room,,Micklegate Ward,4,5,1,,32,1,53.943997,-1.086922,12:28.0
5737768,15868005,Private room,,Micklegate Ward,115,5,2,,58,1,53.951627,-1.089597,12:17.5
14329649,87699902,Private room,,Fishergate Ward,31,5,2,,42,1,53.940233,-1.079669,12:05.3
14666949,91109184,Private room,,Acomb Ward,15,5,2,,32,1,53.967455,-1.126882,11:56.7
9297949,48269360,Entire home/apt,,Clifton Ward,8,5,4,,152,3,53.965357,-1.090519,11:44.2
15846516,102655230,Private room,,Acomb Ward,0,,1,,82,1,53.965671,-1.121369,10:46.6
11598977,43256484,Entire home/apt,,Micklegate Ward,0,,6,,191,4,53.956744,-1.086045,10:00.1
13655083,53714531,Private room,,Fishergate Ward,10,5,2,,50,1,53.951309,-1.069134,09:12.7
6825514,35443247,Private room,,Rural West York Ward,48,5,2,,45,1,53.979581,-1.147955,09:00.5
15297431,37792841,Private room,,Holgate Ward,2,,1,,50,2,53.956791,-1.111317,08:16.8
195225,949161,Private room,,Micklegate Ward,197,4.5,3,,37,1,53.952617,-1.084901,08:00.9
12754352,69338294,Private room,,Micklegate Ward,3,4,3,,140,1,53.950184,-1.085635,07:33.1
5039137,11125883,Entire home/apt,,Guildhall Ward,12,4.5,3,,184,3,53.963866,-1.089738,07:11.5
3922138,14313195,Entire home/apt,,Guildhall Ward,11,4.5,6,,254,,53.962022,-1.085103,06:59.3
6790284,4857063,Private room,,Guildhall Ward,35,5,3,,58,1,53.968152,-1.073998,06:28.0
5170642,26741873,Entire home/apt,,Micklegate Ward,2,,4,,96,4,53.947972,-1.086071,06:24.4
15109876,95706527,Entire home/apt,,Guildhall Ward,1,,4,,117,,53.963543,-1.082681,06:02.4
10855207,56226016,Entire home/apt,,Micklegate Ward,66,5,4,,114,2,53.954038,-1.085356,05:58.2
9467918,2246645,Private room,,Micklegate Ward,65,5,2,,39,2,53.95501,-1.087329,05:29.6
10560762,43246668,Entire home/apt,,Micklegate Ward,7,5,3,,146,2,53.956914,-1.083964,04:01.2
15741169,101722938,Private room,,Fishergate Ward,1,,2,,70,2,53.949344,-1.074817,03:36.7
13114657,72933021,Entire home/apt,,Micklegate Ward,4,5,4,,119,2,53.955492,-1.085625,03:32.9
4658427,24107594,Entire home/apt,,Guildhall Ward,16,5,4,,235,2,53.959263,-1.080976,03:02.4
3299853,16666257,Private room,,Holgate Ward,87,5,2,,58,3,53.961239,-1.101267,02:48.7
8563190,45067752,Entire home/apt,,Micklegate Ward,34,5,6,,184,2,53.95519,-1.08993,02:44.1
697957,3564691,Entire home/apt,,Micklegate Ward,2,,10,,203,3,53.950676,-1.092783,02:37.2
12777709,21695593,Private room,,Clifton Ward,40,4.5,1,,29,1,53.974247,-1.091831,02:20.3
13631892,68014894,Private room,,Micklegate Ward,22,4.5,3,,53,,53.952455,-1.083456,00:56.1
11091512,44502593,Private room,,Fishergate Ward,10,4.5,2,,58,,53.951555,-1.07031,00:40.0
7634596,40052157,Private room,,Dringhouses & Woodthorpe Ward,8,5,1,,32,1,53.944783,-1.11631,59:29.5
8927719,46683665,Private room,,Micklegate Ward,27,5,2,,26,,53.952596,-1.086152,58:57.9
9556034,2246645,Private room,,Micklegate Ward,45,5,1,,34,1,53.955533,-1.086071,58:41.2
8222567,35840725,Entire home/apt,,Guildhall Ward,73,5,4,,133,,53.96667,-1.07647,58:32.9
5186384,949161,Private room,,Fulford & Heslington Ward,32,5,4,,49,1,53.921898,-1.086967,58:28.1
15007470,87729702,Private room,,Huntington & New Earswick Ward,5,5,2,,42,1,53.979592,-1.067704,58:02.6
8823524,46218687,Private room,,Holgate Ward,70,5,2,,54,1,53.959754,-1.12233,57:48.7
6219236,32253623,Private room,,Micklegate Ward,164,4.5,2,,49,1,53.945626,-1.085014,57:35.3
10268638,13570251,Private room,,Huntington & New Earswick Ward,24,5,1,,33,1,53.980172,-1.065481,57:32.5
15749603,101722938,Private room,,Fishergate Ward,1,,4,,50,2,53.949863,-1.073476,57:25.4
