room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12276311,58923747,Private room,,Mt Victoria West,29,4,2,1,36,,-41.293494,174.788009,37:43.8
6391878,28360969,Private room,,Willis Street-Cambridge Terrace,7,4.5,2,1,39,,-41.293947,174.781842,37:43.8
13265658,30326639,Private room,,Mt Victoria West,6,4.5,2,1,39,,-41.297915,174.788302,37:43.8
6812646,14756763,Private room,,Happy Valley-Owhiro Bay,0,0,1,1,32,,-41.344816,174.762984,37:43.8
17125655,114427894,Private room,,Tawa Central,5,5,2,1,36,,-41.171135,174.826589,37:43.8
11326427,58923747,Private room,,Mt Victoria West,34,4,2,1,36,,-41.291628,174.786875,37:43.8
9638124,49832741,Private room,,Awarua,3,4.5,2,1,39,,-41.244112,174.773375,37:43.8
10474102,27805139,Private room,,Wilton,8,5,2,1,34,,-41.273664,174.756754,37:43.7
9333477,3558466,Private room,,Hataitai North,54,4.5,2,1,40,,-41.299445,174.802636,37:42.4
14671076,91177576,Private room,,Karori East,2,0,4,1,35,,-41.291092,174.746769,37:42.4
17220904,75324358,Private room,,Churton Park North,2,0,2,1,23,,-41.198867,174.801569,37:42.4
11528472,7424070,Private room,,Mt Cook-Wallace Street,37,5,2,1,40,,-41.306362,174.774644,37:42.4
10367412,31125120,Private room,,Lambton,2,0,1,1,32,,-41.287136,174.774202,37:42.4
10106377,51864442,Private room,,Ngaio South,23,4.5,2,1,39,,-41.249051,174.7831,37:42.4
16378361,39069375,Private room,,Willis Street-Cambridge Terrace,2,0,1,1,18,,-41.294392,174.777469,37:42.4
15845919,34716052,Private room,,Strathmore Park,15,4.5,2,1,34,,-41.329699,174.820735,37:42.4
15637366,100723755,Private room,,Greenacres,6,5,2,1,32,,-41.163991,174.839784,37:42.4
17586811,46798628,Private room,,Brooklyn South,0,0,2,1,36,,-41.312678,174.76013,37:42.4
